Lodge Name,Official Website,LodgesOfUganda URL,Region
Hotel No.5 Entebbe,,https://lodgesofuganda.com/lodges/entebbe/hotel-no5-entebbe,entebbe
Karibu Guesthouse,,https://lodgesofuganda.com/lodges/entebbe/karibu-guesthouse-entebbe,entebbe
Le Petit Village Hotel,,https://lodgesofuganda.com/lodges/entebbe/le-petit-village-hotel,entebbe
Protea Hotel Entebbe,https://www.marriott.com/en-us/hotels/ebbpr-protea-hotel-entebbe/overview/,https://lodgesofuganda.com/lodges/entebbe/protea-hotel-entebbe,entebbe
The Boma Entebbe,https://www.boma.co.ug,https://lodgesofuganda.com/lodges/entebbe/the-boma-entebbe,entebbe
Aramaga Rift Valley Lodge,,https://lodgesofuganda.com/lodges/fort-portal/aramaga-rift-valley-lodge,fort-portal
CVK Lakeside Resort,,https://lodgesofuganda.com/lodges/fort-portal/cvk-lakeside-resort,fort-portal
Crater Safari Lodge,,https://lodgesofuganda.com/lodges/fort-portal/crater-safari-lodge,fort-portal
Kluges Guest Farm,,https://lodgesofuganda.com/lodges/fort-portal/kluges-guest-farm,fort-portal
Kyaninga Lodge,https://www.kyaningalodge.com,https://lodgesofuganda.com/lodges/fort-portal/kyaninga-lodge,fort-portal
Lake Nkuruba Nature Reserve,,https://lodgesofuganda.com/lodges/fort-portal/lake-nkuruba-nature-reserve,fort-portal
Lodge Bellavista,,https://lodgesofuganda.com/lodges/fort-portal/lodge-bellavista,fort-portal
Mountains of the Moon Hotel,https://mountainsofthemoonhotel.com,https://lodgesofuganda.com/lodges/fort-portal/mountains-of-the-moon-hotel,fort-portal
Mwamba Kelele Lodge,,https://lodgesofuganda.com/lodges/fort-portal/mwamba-kelele-lodge,fort-portal
Ndali Lodge,https://www.ndalilodge.com,https://lodgesofuganda.com/lodges/fort-portal/ndali-lodge,fort-portal
Nyinabulitwa Country Resort,,https://lodgesofuganda.com/lodges/fort-portal/nyinabulitwa-country-resort,fort-portal
Papaya Lake Lodge,https://papayalakelodge.com,https://lodgesofuganda.com/lodges/fort-portal/papaya-lake-lodge,fort-portal
Ruwenzori View Guest House,,https://lodgesofuganda.com/lodges/fort-portal/ruwenzori-view-guest-house,fort-portal
Rweteera Safari Park,,https://lodgesofuganda.com/lodges/fort-portal/rweteera-safari-park,fort-portal
Semliki Safari Lodge,,https://lodgesofuganda.com/lodges/fort-portal/semliki-safari-lodge,fort-portal
Tinka's Homestead,,https://lodgesofuganda.com/lodges/fort-portal/tinkas-homestead,fort-portal
Enjojo Lodge,https://www.enjojolodge.com,https://lodgesofuganda.com/lodges/ishasha/enjojo-lodge,ishasha
Honey Bear Bushcamp,https://wildplacesafrica.com,https://lodgesofuganda.com/lodges/ishasha/honey-bear-bushcamp,ishasha
Ishasha Jungle Lodge,,https://lodgesofuganda.com/lodges/ishasha/ishasha-jungle-lodge,ishasha
Ishasha Wilderness Camp,https://www.ugandaexclusivecamps.com/camps/ishasha-wilderness-camp,https://lodgesofuganda.com/lodges/ishasha/ishasha-wilderness-camp,ishasha
Topi Lodge,,https://lodgesofuganda.com/lodges/ishasha/topi-lodge,ishasha
Adrift Overland Camp,,https://lodgesofuganda.com/lodges/jinja/adrift-overland-camp,jinja
Adrift River Club,,https://lodgesofuganda.com/lodges/jinja/adrift-river-club,jinja
Gray Nile Hideaway,,https://lodgesofuganda.com/lodges/jinja/gray-nile-hideaway,jinja
Holland Park Jinja,,https://lodgesofuganda.com/lodges/jinja/holland-park-jinja,jinja
Jinja Nile Resort,,https://lodgesofuganda.com/lodges/jinja/jinja-nile-resort,jinja
Nile River Camp,,https://lodgesofuganda.com/lodges/jinja/nile-river-camp,jinja
One Eleven Jinja,,https://lodgesofuganda.com/lodges/jinja/one-eleven-jinja,jinja
The Haven Lodge,,https://lodgesofuganda.com/lodges/jinja/the-haven-lodge-jinja,jinja
Victoria Travel Hotel,,https://lodgesofuganda.com/lodges/jinja/victoria-travel-hotel,jinja
Wildwaters Lodge,https://www.wildwatersafrica.com,https://lodgesofuganda.com/lodges/jinja/wildwaters-lodge,jinja
Cassia Lodge Kampala,,https://lodgesofuganda.com/lodges/kampala/cassia-lodge-kampala,kampala
Latitude 0° Kampala,,https://lodgesofuganda.com/lodges/kampala/latitude-0-kampala,kampala
Red Chilli Hideaway Kampala,https://redchillihideaway.com,https://lodgesofuganda.com/lodges/kampala/red-chilli-hideaway-kampala,kampala
Sheraton Kampala Hotel,https://www.marriott.com/en-us/hotels/ebbsi-sheraton-kampala-hotel/overview/,https://lodgesofuganda.com/lodges/kampala/sheraton-kampala-hotel,kampala
Speke Resort Munyonyo,https://spekeresort.com,https://lodgesofuganda.com/lodges/kampala/speke-resort-munyonyo,kampala
Kara-Tunga Safari Camp,,https://lodgesofuganda.com/lodges/karamoja/kara-tunga-safari-camp,karamoja
Pian Upe Safari Cottages,,https://lodgesofuganda.com/lodges/karamoja/pian-upe-safari-cottages,karamoja
Chimpanzee Capital Safari Lodge,,https://lodgesofuganda.com/lodges/kibale/chimpanzee-capital-safari-lodge,kibale
Chimpanzee Forest Lodge,,https://lodgesofuganda.com/lodges/kibale/chimpanzee-forest-lodge,kibale
Chimps Nest Lodge,,https://lodgesofuganda.com/lodges/kibale/chimps-nest-lodge,kibale
Chimpundu Lodge,,https://lodgesofuganda.com/lodges/kibale/chimpundu-lodge,kibale
Guereza Canopy Lodge,,https://lodgesofuganda.com/lodges/kibale/guereza-canopy-lodge,kibale
Isunga Lodge,,https://lodgesofuganda.com/lodges/kibale/isunga-lodge,kibale
Kibale Forest Camp,,https://lodgesofuganda.com/lodges/kibale/kibale-forest-camp,kibale
Kibale Guest Cottages,,https://lodgesofuganda.com/lodges/kibale/kibale-guest-cottages,kibale
Kibale River Camp,,https://lodgesofuganda.com/lodges/kibale/kibale-river-camp,kibale
Kibale Safari Lodge,,https://lodgesofuganda.com/lodges/kibale/kibale-safari-lodge,kibale
Primate Lodge Kibale,https://www.ugandaexclusivecamps.com/camps/primate-lodge,https://lodgesofuganda.com/lodges/kibale/primate-lodge-kibale,kibale
Turaco Treetops Lodge,https://turacotreetops.com,https://lodgesofuganda.com/lodges/kibale/turaco-treetops-lodge,kibale
Acaki Lodge,,https://lodgesofuganda.com/lodges/kidepo/acaki-lodge,kidepo
Adere Safari Lodge,,https://lodgesofuganda.com/lodges/kidepo/adere-safari-lodge,kidepo
Apoka Rest Camp,,https://lodgesofuganda.com/lodges/kidepo/apoka-rest-camp,kidepo
Apoka Safari Lodge,https://www.ugandaexclusivecamps.com/camps/apoka-safari-lodge,https://lodgesofuganda.com/lodges/kidepo/apoka-safari-lodge,kidepo
Kidepo Savannah Lodge,,https://lodgesofuganda.com/lodges/kidepo/kidepo-savannah-lodge,kidepo
Lavuun Safari Lodge,,https://lodgesofuganda.com/lodges/kidepo/lavuun-safari-lodge,kidepo
Nga Moru Wilderness Camp,,https://lodgesofuganda.com/lodges/kidepo/nga-moru-wilderness-camp,kidepo
Noah's Ark Resort,,https://lodgesofuganda.com/lodges/kidepo/noahs-ark-resort-kidepo,kidepo
Rafiki Safari Lodge,,https://lodgesofuganda.com/lodges/kidepo/rafiki-safari-lodge,kidepo
Twiga Tale Lodge,,https://lodgesofuganda.com/lodges/kidepo/twiga-tale-lodge,kidepo
Arcadia Cottages Lake Bunyonyi,https://www.arcadiacottages.com,https://lodgesofuganda.com/lodges/lake-bunyonyi/arcadia-cottages-lake-bunyonyi,lake-bunyonyi
Birdnest Resort Lake Bunyonyi,https://www.birdnestresort.com,https://lodgesofuganda.com/lodges/lake-bunyonyi/birdnest-resort-lake-bunyonyi,lake-bunyonyi
Crater Bay Cottages,,https://lodgesofuganda.com/lodges/lake-bunyonyi/crater-bay-cottages,lake-bunyonyi
Lake Bunyonyi Eco Resort,,https://lodgesofuganda.com/lodges/lake-bunyonyi/lake-bunyonyi-eco-resort,lake-bunyonyi
Lake Bunyonyi Overland Resort,https://bunyonyioverland.com,https://lodgesofuganda.com/lodges/lake-bunyonyi/lake-bunyonyi-overland-resort,lake-bunyonyi
Lake Bunyonyi Rock Resort,,https://lodgesofuganda.com/lodges/lake-bunyonyi/lake-bunyonyi-rock-resort,lake-bunyonyi
Arcadia Cottages Lake Mburo,https://arcadiacottages.com,https://lodgesofuganda.com/lodges/lake-mburo/arcadia-cottages-lake-mburo,lake-mburo
Eagle's Nest Lodge Lake Mburo,,https://lodgesofuganda.com/lodges/lake-mburo/eagles-nest-lake-mburo,lake-mburo
Emburara Farm Lodge,,https://lodgesofuganda.com/lodges/lake-mburo/emburara-farm-lodge,lake-mburo
Hyena Hill Lodge,,https://lodgesofuganda.com/lodges/lake-mburo/hyena-hill-lodge,lake-mburo
Kakiri National Resort,,https://lodgesofuganda.com/lodges/lake-mburo/kakiri-national-resort,lake-mburo
Kigambira Safari Lodge,https://kigambirasafarilodge.com,https://lodgesofuganda.com/lodges/lake-mburo/kigambira-safari-lodge,lake-mburo
Lake Mburo Safari Lodge,,https://lodgesofuganda.com/lodges/lake-mburo/lake-mburo-safari-lodge,lake-mburo
Leopard Rest Camp,,https://lodgesofuganda.com/lodges/lake-mburo/leopard-rest-camp,lake-mburo
Mantana Tented Camp,,https://lodgesofuganda.com/lodges/lake-mburo/mantana-tented-camp,lake-mburo
Mihingo Lodge,https://www.mihingolodge.com,https://lodgesofuganda.com/lodges/lake-mburo/mihingo-lodge,lake-mburo
Mpogo Safari Lodge,,https://lodgesofuganda.com/lodges/lake-mburo/mpogo-safari-lodge,lake-mburo
Rwakobo Rock,https://www.rwakoborock.com,https://lodgesofuganda.com/lodges/lake-mburo/rwakobo-rock,lake-mburo
